"Média" "DP" "Mediana" "AIQ"
"VITAMINAD.BASAL" 13.41 7.27 11 7.6
"VITAMINAD.FINAL" 26.78 10.87 26 8.3
"ADIPONECTINA.BASAL" 0.16 0.05 0.15 0.07
"ADIPONECTINA.FINAL" 0.27 0.09 0.26 0.12
"CTX.BASAL" 0.31 0.13 0.31 0.19
"CTX.FINAL" 0.16 0.06 0.14 0.08
"FAO.BASAL" 30.23 13.8 33.5 11.9
"FAO.FINAL" 21.99 8.95 22.9 12
"LEPTINA.BASAL" 0.28 0.04 0.27 0.07
"LEPTINA.FINAL" 0.2 0.08 0.2 0.15
"OPG.BASAL" 2.68 0.66 2.7 0.8
"OPG.FINAL" 3.12 0.56 2.9 0.7
"TNFALFA.BASAL" 4.83 1.06 4.8 1.2
"TNFALFA.FINAL" 3.87 0.87 3.6 1.3
